post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1117609349738844163,PUSHA_T,Mon Apr 15 02:03:27 +0000 2019,"The only one capable of bringing snow to the desert👃🏻thanks coachella 📸: @visualsbypierre @ Palm Desert, California https://t.co/dsfOILMT0V",#,@visualsbypierre@,465,71
1117559038793797633,PUSHA_T,Sun Apr 14 22:43:32 +0000 2019,Hey guys 👋🏿😊 meet my coachella friend #NoseCandyMandy 👃🏻thnx for my King Push Ozweego’s @adidasoriginals see you th… https://t.co/tkFMf6Jpbn,#NoseCandyMandy#,@adidasoriginals@,183,22
1117136197099245568,PUSHA_T,Sat Apr 13 18:43:19 +0000 2019,@ReasonableMatic @ProgramV Agreed...🤷🏿‍♂️,#,@ReasonableMatic@ProgramV@,4,2
1116996742426152961,PUSHA_T,Sat Apr 13 09:29:10 +0000 2019,"Consistency is the best thing abt the Bay Area, it’s always a lot of love and high energy. Riding thru the “Tenderl… https://t.co/4g5qsXblaG",#,@,2647,410
1116993544399380480,PUSHA_T,Sat Apr 13 09:16:28 +0000 2019,Bay Area...San Francisco...Oakland...etc...I love y’all...always a good time.,#,@,1414,175
1116877809652121601,PUSHA_T,Sat Apr 13 01:36:35 +0000 2019,https://t.co/pbhwhsJM0E SF tonight! https://t.co/GRikWZyOk6,#,@,301,26
1116877373587120129,PUSHA_T,Sat Apr 13 01:34:51 +0000 2019,Kicked off Coachella 2019 with my @adidasoriginals family...#createdwithadidas #adidasSportClub https://t.co/trMEg0BeuJ,#createdwithadidas#adidasSportClub#,@adidasoriginals@,584,66
1116736569526743040,PUSHA_T,Fri Apr 12 16:15:20 +0000 2019,Aye @KarenCivil you really are Superwoman...take a bow. Just reflecting on the celebration you put together for Nip… https://t.co/UZsT56ZSaJ,#,@KarenCivil@,8234,1439
1116583057832562688,PUSHA_T,Fri Apr 12 06:05:20 +0000 2019,RT @MeekMill: Aye nip you fucked  the world up today .... 50 rolls Royce .... sold out the staples .... bought the bikes out ....  had peop…,#,@MeekMill@,0,90585
1115353930769342466,PUSHA_T,Mon Apr 08 20:41:14 +0000 2019,@earth_julien All facts...,#,@earth_julien@,3,1
1119009936543870976,zenojones,Thu Apr 18 22:48:53 +0000 2019,"wait and y'all coming for Old Town Road today! nah no way that song is go city, the first all summer banger of 2019.",#,@,8,1
1119009619903299584,zenojones,Thu Apr 18 22:47:38 +0000 2019,Ontas legit had me thrown so far off its at least 100 DM's of people just saying ONTAS!,#,@,0,0
1119009403108151296,zenojones,Thu Apr 18 22:46:46 +0000 2019,"Yeah I was on translate for a min figuring that one out, last night we got a flood of them so random. https://t.co/z3LSOetPFR",#,@,0,0
1118652065616502784,zenojones,Wed Apr 17 23:06:50 +0000 2019,@100pbased I dont have spotify!,#,@100pbased@,1,1
1118049696985993223,zenojones,Tue Apr 16 07:13:14 +0000 2019,RT @noahcent: Dude...you know when you wake up after being asleep at the wheel for a few weeks? That’s me right now,#,@noahcent@,0,1049
1117858117478260736,zenojones,Mon Apr 15 18:31:58 +0000 2019,RT @KeyboardKid206: Hey @LILBTHEBASEDGOD I Heard New Art Soon Possibly?!! Tell The BasedGod Hello -Keyboard,#,@KeyboardKid206@LILBTHEBASEDGOD@,0,16
1116221346638262273,zenojones,Thu Apr 11 06:08:02 +0000 2019,RT @The_SummerMan: https://t.co/2kiddSGVyv,#,@The_SummerMan@,0,22
1116193727410610176,zenojones,Thu Apr 11 04:18:17 +0000 2019,#ヒトカゲ,#ヒトカゲ#,@,2,0
1116191353111605248,zenojones,Thu Apr 11 04:08:51 +0000 2019,RT @LILBTHEBASEDGOD: @zenojones @khalilsbible FACTS - Lil B,#,@LILBTHEBASEDGOD@zenojones@khalilsbible@,0,2
1116177564555456513,zenojones,Thu Apr 11 03:14:03 +0000 2019,Now I just need a @khalilsbible project and the return of @LILBTHEBASEDGOD and I'm good until new Sean Don drops,#,@khalilsbible@LILBTHEBASEDGOD@,26,8
1116177147238813697,zenojones,Thu Apr 11 03:12:24 +0000 2019,"I cant believe how much Tisa Korean 'ive been listening to over the past 3 weeks, I cant front the @zackfox &amp; @DashRomero tweet put me on.",#,@zackfox@DashRomero@,10,0
1115718453644513281,zenojones,Tue Apr 09 20:49:43 +0000 2019,"RT @vickysssecrets: I’ve been in this airport trying to get home for 8 hours already with all these delays... but I ran into @BigSean 

“Ca…",#,@vickysssecrets@BigSean@,0,118
1113932189358419968,zenojones,Thu Apr 04 22:31:44 +0000 2019,RT @Maddie_Jones515: Do white people know that the dogs in Flint don’t have clean water either? Have we tried that approach?,#,@Maddie_Jones515@,0,163812
1111676567506337792,zenojones,Fri Mar 29 17:08:42 +0000 2019,Can't wait to make enough capital that I can wear the double velcro new balance everyday.,#,@,8,1
1111274583754268677,zenojones,Thu Mar 28 14:31:21 +0000 2019,RT @RiskItAllRichy: in all honesty a lot of shit can be resolved with a phone call.,#,@RiskItAllRichy@,0,2
1111188408725049344,zenojones,Thu Mar 28 08:48:56 +0000 2019,DownloadLOVE movement has been going strong for a long time now and it’s needed now more than ever.,#,@,1,0
