post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1055069575526694913,Damonalbarn,Wed Oct 24 12:12:43 +0000 2018,RT @goodbadqueen: We cheer on the clowns as they roll into town https://t.co/TyWnE9Kjuk #MerrieLand https://t.co/3BoOKr78X0,#MerrieLand#,@goodbadqueen@,0,623
1040264223778111489,Damonalbarn,Thu Sep 13 15:41:32 +0000 2018,Rest In Peace Rachid Taha https://t.co/MqOlLBGDHb,#,@,2641,457
1036237308322824193,Damonalbarn,Sun Sep 02 13:00:01 +0000 2018,"2nd September marks the start of Africa Express’s 2012 Olympics train tour. The train, fill it with 100 artists fro… https://t.co/uu22uqmxvV",#,@,1987,284
1116719765534457856,EmmylouSongbird,Fri Apr 12 15:08:34 +0000 2019,RT @NonesuchRecords: .@RecordStoreDay is Saturday! Get to your favorite independent record store then for @EmmylouSongbird's The Studio Alb…,#,@NonesuchRecords@recordstoreday@EmmylouSongbird@,0,12
1116346463980793858,EmmylouSongbird,Thu Apr 11 14:25:12 +0000 2019,RT @NonesuchRecords: @BR_DogRescue @groovenashville @AcmeRadioLive @2HarvestMidTN And while enjoying those adorable &amp; adoptable shelter dog…,#,@NonesuchRecords@BR_DogRescue@groovenashville@AcmeRadioLive@2HarvestMidTN@,0,11
1116346442615001088,EmmylouSongbird,Thu Apr 11 14:25:07 +0000 2019,"RT @BR_DogRescue: Join us! This Saturday, April 13. We’ll be hangin at @groovenashville from 11am-2pm for Record Store Day 2019 with some a…",#,@BR_DogRescue@groovenashville@,0,6
1115276456559509505,EmmylouSongbird,Mon Apr 08 15:33:22 +0000 2019,"RT @ATLSymphonyHall: Just announced: @EmmylouSongbird at #ATLSymphonyHall on Nov. 10!

🎟️on sale this Friday at noon! https://t.co/Fwxn5PYP…",#ATLSymphonyHall#,@ATLSymphonyHall@EmmylouSongbird@,0,13
1113909312357847048,EmmylouSongbird,Thu Apr 04 21:00:50 +0000 2019,Emmylou &amp; @JohnPrineMusic have signed a very limited run of @Soundwaves_Art canvas prints created from the recordin… https://t.co/0VIKkfVwZh,#,@JohnPrineMusic@Soundwaves_Art@,52,10
1113457220656816129,EmmylouSongbird,Wed Apr 03 15:04:23 +0000 2019,"RT @BR_DogRescue: #Emmylou talks about adoptable Billie Jean, a gorgeous Treeing Walker Coonhound. Sweet?🎂Yep. Lover?💘Yep. High energy?💥 Ye…",#Emmylou#,@BR_DogRescue@,0,24
1113189383568535552,EmmylouSongbird,Tue Apr 02 21:20:05 +0000 2019,"RT @BR_DogRescue: Happy Birthday to our fearless leader &amp; founder, @EmmylouSongbird. Lover of all creatures &amp; rescuer of shelter dogs. 💖🎂🎈🙌…",#,@BR_DogRescue@EmmylouSongbird@,0,20
1113189241981472774,EmmylouSongbird,Tue Apr 02 21:19:32 +0000 2019,"RT @thebootdotcom: Happy birthday, @EmmylouSongbird! https://t.co/y4AxNy6ep9",#,@thebootdotcom@EmmylouSongbird@,0,54
1113189146661654535,EmmylouSongbird,Tue Apr 02 21:19:09 +0000 2019,RT @HollywoodDogs: Happy birthday to @EmmylouSongbird! 🎂 The multi-Grammy Award winner is the founder of @BR_DogRescue! https://t.co/SERTii…,#,@HollywoodDogs@EmmylouSongbird@BR_DogRescue@,0,16
1113188964398186496,EmmylouSongbird,Tue Apr 02 21:18:25 +0000 2019,RT @country1011fm: Happy birthday to the lovely @EmmylouSongbird! Which song from Emmylou will it be on the #ThrowbackThrowdown today?,#ThrowbackThrowdown#,@country1011fm@EmmylouSongbird@,0,1
1113188868768059392,EmmylouSongbird,Tue Apr 02 21:18:03 +0000 2019,RT @MAGNETMagazine: Happy birthday #EmmylouHarris (@EmmylouSongbird). Never be anyone else but you. https://t.co/5rRR5YC0pD,#EmmylouHarris#,@MAGNETMagazine@EmmylouSongbird@,0,16
1113188536302362624,EmmylouSongbird,Tue Apr 02 21:16:43 +0000 2019,"RT @ROYORBISON: Happy Birthday @EmmylouSongbird!

Here's ""That Lovin You Feeling Again"" - a duet recorded by Emmylou Harris &amp; Roy Orbison f…",#,@ROYORBISON@EmmylouSongbird@,0,13
